"S.No","Invoice No","Customer Name","Sales Invoice Date","Total Amount","Amount Paid","Action"
"1","LS20231120-10","Worldpay COMB. DEP.","2023-11-20","$2797.75","$2797.75"," "
"2","LS20231127-8","Worldpay COMB. DEP.","2023-11-27","$4580.00","$4580.00"," "
"3","LS20231120-9","DEPOSIT-34358350","2023-11-20","$1300.00","$1300.00"," "
"4","LS20231130-5","Worldpay COMB. DEP.","2023-11-30","$3500.00","$3500.00"," "
"5","LS20231127-6","Zelle*STONEMART COVisa Direct NJ 1889","2023-11-27","$1000.00","$1000.00"," "
"6","LS20231127-7","DEPOSIT","2023-11-27","$3800.00","$3800.00"," "
"7","LS20231117-12","DEPOSIT-34358350","2023-11-17","$250.00","$250.00"," "
"8","LS20231117-11","RealTime Credit Intuit Payments Inc.","2023-11-17","$650.00","$650.00"," "
"9","LS20231117-13","DEPOSIT-34358350","2023-11-17","$310.00","$310.00"," "
"10","LS20231117-14","DEPOSIT-34358350","2023-11-17","$1000.00","$1000.00"," "
"11","LS20231117-15","DEPOSIT-34358350","2023-11-17","$1000.00","$1000.00"," "
"12","LS20231113-16","RealTime Credit Intuit Payments Inc.","2023-11-13","$650.00","$650.00"," "
"13","LS20231113-17","Worldpay COMB. DEP.","2023-11-13","$500.00","$500.00"," "
"14","LS20231113-18","Worldpay COMB. DEP.","2023-11-13","$9000.00","$9000.00"," "
"15","LS20231011-19","Zelle*LANCASTER SVisa Direct AZ 1889","2023-10-11","$1.00","$1.00"," "
"16","LS20231011-20","Zelle*STONEMART COVisa Direct NJ 1889","2023-10-11","$1.00","$1.00"," "
"17","LS20231011-21","Zelle*HEERA PRASAVisa Direct CA 1889","2023-10-11","$200.00","$200.00"," "
"18","LS20231011-22","Zelle*STONEMART COVisa Direct NJ 1889","2023-10-11","$300.00","$300.00"," "
"19","LS20231011-23","Zelle*STONEMART COVisa Direct NJ 1889","2023-10-11","$700.00","$700.00"," "
"20","LS20231011-24","Zelle*LANCASTER SVisa Direct AZ 1889","2023-10-11","$950.00","$950.00"," "
"21","LS20231011-25","698 US HWY 202 TH THREE BRIDGES NJ 1889","2023-10-11","$760.00","$760.00"," "
"22","LS20230611-26","DEPOSIT-34358350","2023-06-11","$2750.00","$2750.00"," "
"23","LS20230211-28","DEPOSIT-34358350","2023-02-11","$4080.00","$4080.00"," "
"24","LS20230211-27","DEPOSIT-34358350","2023-02-11","$1000.00","$1000.00"," "
"25","LS20230111-29","Worldpay COMB. DEP.","2023-01-11","$400.00","$400.00"," "
"26","LS20231026-30","DEPOSIT-34358350","2023-10-26","$2838.00","$2838.00"," "
"27","LS20231025-31","Worldpay COMB. DEP.","2023-10-25","$1300.00","$1300.00"," "
"28","LS20231023-32","Worldpay COMB. DEP.","2023-10-23","$1800.00","$1800.00"," "
"29","LS20231020-33","Worldpay COMB. DEP.","2023-10-20","$2640.00","$2640.00"," "
"30","LS20231019-34","DEPOSIT-34358350","2023-10-19","$3107.00","$3107.00"," "
"31","LS20231016-35","RealTime Credit Intuit Payments Inc.","2023-10-16","$900.00","$900.00"," "
"32","LS20231013-36","DEPOSIT-34358350","2023-10-13","$2600.00","$2600.00"," "
"33","LS20231013-37","DEPOSIT-34358350","2023-10-13","$2741.00","$2741.00"," "
"34","LS20231013-38","DEPOSIT-34358350","2023-10-13","$3087.00","$3087.00"," "
"35","LS20231210-39","RealTime Credit Intuit Payments Inc","2023-12-10","$3055.00","$3055.00"," "
"36","LS20231010-40","RealTime Credit Intuit Payments Inc.","2023-10-10","$900.00","$900.00"," "
"37","LS20231010-41","RealTime Credit Intuit Payments Inc.","2023-10-10","$2065.00","$2065.00"," "
"38","LS20231010-42","Worldpay COMB. DEP.","2023-10-10","$1400.00","$1400.00"," "
"39","LS20231010-43","Worldpay COMB. DEP.","2023-10-10","$5780.00","$5780.00"," "
"40","LS20230610-44","DEPOSIT-34358350","2023-06-10","$8000.00","$8000.00"," "
"41","LS20230410-45","DEPOSIT-34358350","2023-04-10","$2050.00","$2050.00"," "
"42","LS20230310-46","DEPOSIT-34358350","2023-03-10","$745.00","$745.00"," "
"43","LS20230310-47","DEPOSIT-34358350","2023-03-10","$2578.00","$2578.00"," "
"44","LS20230927-48","DEPOSIT-34358350","2023-09-27","$350.00","$350.00"," "
"45","LS20230926-49","Worldpay COMB. DEP.","2023-09-26","$1500.00","$1500.00"," "
"46","LS20231209-50","DEPOSIT","2023-12-09","$44729.00","$44729.00"," "
"47","LS20231109-51","Worldpay COMB. DEP.","2023-11-09","$3372.50","$3372.50"," "
"48","LS20230609-52","Worldpay COMB. DEP.","2023-06-09","$8579.65","$8579.65"," "
"49","LS20230509-53","DEPOSIT","2023-05-09","$1550.00","$1550.00"," "
"50","LS20230109-54","Worldpay COMB. DEP.","2023-01-09","$970.00","$970.00"," "
